Left_pocket,,,,,
time_stamp,Ax,Ay,Az,,
1.39E+12,-1.8115,-14.873,-1.3484,15.04346515,walking
1.39E+12,0.24517,-14.07,-0.84446,14.09745087,walking
1.39E+12,-0.57205,-14.628,-1.757,14.74424207,walking
1.39E+12,-0.69464,-12.939,-3.0918,13.32139156,walking
1.39E+12,0.8717,-12,-1.5663,12.1331429,walking
1.39E+12,0.20431,-11.468,4.3449,12.2651915,walking
1.39E+12,0.50395,-12.503,4.3177,13.23712612,walking
1.39E+12,2.6015,-16.086,3.4187,16.649766,walking
1.39E+12,4.9442,-17.87,2.0839,18.65809885,walking
1.39E+12,4.699,-15.963,2.2201,16.78769829,walking
1.39E+12,4.5083,-14.492,2.0294,15.31212909,walking
1.39E+12,4.4947,-11.101,0.040861,11.97648524,walking
1.39E+12,4.2768,-10.529,1.5391,11.46820335,walking
1.39E+12,1.866,-8.8805,6.7557,11.31303314,walking
1.39E+12,-1.4846,-9.0167,3.6503,9.840203562,walking
1.39E+12,-1.471,-4.7126,2.2882,5.441350843,walking
1.39E+12,-1.7706,-2.9011,3.5004,4.878955393,walking
1.39E+12,0.24517,-3.1327,4.4402,5.439604182,walking
1.39E+12,0.34051,-3.1599,3.9363,5.059186966,walking
1.39E+12,-0.068102,-2.9011,3.0918,4.240312056,walking
1.39E+12,0.83084,-0.69464,1.7025,2.017752731,walking
1.39E+12,1.1169,-0.68102,0.57205,1.427758752,walking
1.39E+12,2.3427,-1.9068,-1.2667,3.275463085,walking
1.39E+12,10.161,-13.116,-12,20.47621491,walking
1.39E+12,13.988,-19.15,-17.053,29.20944116,walking
1.39E+12,8.9894,-19.545,-12.803,25.03463893,walking
1.39E+12,5.4618,-8.9077,-6.5786,12.34732183,walking
1.39E+12,5.5707,-5.6388,-5.5299,9.66481029,walking
1.39E+12,4.6718,-9.1256,-3.6503,10.88241612,walking
1.39E+12,2.8875,-17.216,-3.5958,17.82296524,walking
1.39E+12,7.4776,-12.544,6.565,16.01142288,walking
1.39E+12,6.5105,-2.8875,10.215,12.45273028,walking
1.39E+12,0.9398,-2.2882,-2.2746,3.360489316,walking
1.39E+12,1.7706,-9.6704,-1.3484,9.923197221,walking
1.39E+12,2.1929,-11.809,7.2324,14.02030318,walking
1.39E+12,0.89894,-12.953,7.7772,15.13516244,walking
1.39E+12,-2.261,-15.05,7.641,17.02937174,walking
1.39E+12,-4.0316,-16.821,-0.24517,17.29913142,walking
1.39E+12,-3.1327,-14.097,-1.0624,14.47991409,walking
1.39E+12,-1.8387,-10.992,-0.42223,11.15271984,walking
1.39E+12,0.38137,-7.3141,-0.38137,7.333958342,walking
1.39E+12,1.4574,-7.641,-1.2258,7.87473691,walking
1.39E+12,2.2201,-6.96,-0.95342,7.367459108,walking
1.39E+12,1.3212,-7.8045,-0.44947,7.928291933,walking
