Left_pocket,,,,,
time_stamp,Ax,Ay,Az,,
1.39E+12,-0.74912,-10.665,-0.25879,10.69440873,walking
1.39E+12,-0.65378,-10.719,-0.27241,10.74237388,walking
1.39E+12,-0.57205,-11.264,-0.040861,11.27859064,walking
1.39E+12,-0.91256,-11.087,-0.44947,11.13356897,walking
1.39E+12,-1.3212,-11.319,0.23155,11.39819924,walking
1.39E+12,-0.77636,-11.536,-0.14982,11.5630652,walking
1.39E+12,0.027241,-12.095,-1.2803,12.16260396,walking
1.39E+12,-1.0624,-15.268,-1.5391,15.38211125,walking
1.39E+12,-1.2258,-15.568,-1.8387,15.72405887,walking
1.39E+12,-1.4574,-14.71,-1.6344,14.87210066,walking
1.39E+12,1.7434,-11.605,-1.3484,11.81243629,walking
1.39E+12,3.3234,-10.42,1.7298,11.07310235,walking
1.39E+12,2.6832,-11.387,3.1872,12.12524536,walking
1.39E+12,4.6173,-14.397,0.20431,15.12067495,walking
1.39E+12,4.8625,-15.091,-1.1577,15.89724682,walking
1.39E+12,3.8682,-14.928,-1.9205,15.54015687,walking
1.39E+12,1.2395,-15.105,4.0589,15.68987108,walking
1.39E+12,1.7979,-13.035,2.9011,13.47442209,walking
1.39E+12,0.53119,-10.556,1.5255,10.67887864,walking
1.39E+12,-0.85808,-8.1722,-0.35413,8.224753017,walking
1.39E+12,0.095342,-5.9657,1.5527,6.165188065,walking
1.39E+12,0.58567,-4.9306,1.3484,5.145095555,walking
1.39E+12,1.0079,-3.9499,1.5391,4.357338778,walking
1.39E+12,1.7843,-3.8001,1.3893,4.422062979,walking
1.39E+12,2.3291,-4.0316,1.3212,4.839842436,walking
1.39E+12,2.4789,-4.1542,0.9398,4.928036819,walking
1.39E+12,2.833,-4.3858,-0.92618,5.302729489,walking
1.39E+12,2.8467,-5.9385,-2.0567,6.899238946,walking
1.39E+12,2.261,-9.221,-4.6582,10.57533873,walking
1.39E+12,0.61292,-14.369,-11.278,18.2766823,walking
1.39E+12,1.9886,-13.579,-12.326,18.44651856,walking
1.39E+12,2.0567,-12.612,-8.8941,15.56912244,walking
1.39E+12,1.2258,-11.645,-4.6037,12.58183867,walking
1.39E+12,0.95342,-10.42,-3.8273,11.1415275,walking
1.39E+12,0.89894,-7.7091,-4.6854,9.065941159,walking
1.39E+12,3.5413,-5.2166,-2.5606,6.805174032,walking
1.39E+12,6.279,-10.896,1.185,12.63142439,walking
1.39E+12,5.0259,-15.01,-0.53119,15.8379902,walking
1.39E+12,1.3757,-15.377,0.36775,15.44279507,walking
1.39E+12,1.6753,-9.1665,4.2359,10.23592698,walking
1.39E+12,3.1054,-4.127,5.6388,7.646679253,walking
1.39E+12,3.2416,-4.3177,4.2359,6.862459665,walking
1.39E+12,-4.2087,-10.801,1.1032,11.6443895,walking
1.39E+12,-4.2087,-10.801,1.1032,11.6443895,walking
1.39E+12,-1.2939,-9.7658,1.2531,9.93052297,walking
1.39E+12,-0.98067,-9.9701,1.6208,10.14847773,walking
1.39E+12,-0.31327,-11.223,0.51757,11.23929472,walking
1.39E+12,0.64016,-9.4798,0.24517,9.504552656,walking
1.39E+12,0.68102,-9.0303,0.027241,9.055984121,walking
1.39E+12,-0.095342,-8.9758,0.6674,9.001083185,walking
1.39E+12,0.38137,-9.5479,-0.027241,9.55555229,walking
1.39E+12,0.70826,-9.8611,-0.81722,9.92022046,walking
1.39E+12,-0.14982,-9.8611,-0.35413,9.868593988,walking
1.39E+12,-0.6674,-9.5206,0.43585,9.55391084,walking
1.39E+12,-0.69464,-9.2891,0.9398,9.362324902,walking
1.39E+12,-0.46309,-9.6023,0.99429,9.664741602,walking
1.39E+12,-0.51757,-10.324,0.83084,10.37030134,walking
1.39E+12,-0.19068,-11.904,-1.2803,11.97416982,walking
1.39E+12,0.38137,-12.217,-1.9068,12.37078891,walking
1.39E+12,0.35413,-12.313,-1.5527,12.415565,walking
1.39E+12,-0.70826,-12.122,0.19068,12.14417042,walking
1.39E+12,-0.89894,-12.217,-0.55843,12.26274954,walking
1.39E+12,-0.85808,-12.326,-1.0488,12.40026446,walking
1.39E+12,-2.2474,-15.064,-1.2667,15.28330565,walking
1.39E+12,-2.2882,-15.827,-2.0703,16.12500947,walking
1.39E+12,-2.3699,-12.19,-1.5391,12.51324717,walking
1.39E+12,0.43585,-10.188,-1.6889,10.33623202,walking
1.39E+12,2.9284,-10.297,0.095342,10.70573798,walking
1.39E+12,3.0918,-11.741,2.7241,12.44311171,walking
1.39E+12,3.4732,-14.424,1.7025,14.9336332,walking
1.39E+12,3.3915,-14.764,-0.50395,15.15691043,walking
1.39E+12,2.2882,-14.478,-0.96704,14.68957146,walking
1.39E+12,2.0975,-17.053,5.6116,18.07468865,walking
1.39E+12,2.5061,-15.514,2.6696,15.94024772,walking
1.39E+12,0.55843,-11.468,1.471,11.57543559,walking
1.39E+12,-0.31327,-6.9055,0.44947,6.927199407,walking
1.39E+12,-0.70826,-6.4833,2.1929,6.880670137,walking
1.39E+12,-0.78998,-5.5026,2.0431,5.92257822,walking
1.39E+12,0.24517,-3.9908,2.2337,4.579957277,walking
1.39E+12,1.4846,-3.7184,2.3427,4.638833798,walking
1.39E+12,2.5879,-2.9692,1.8251,4.341009682,walking
1.39E+12,3.2008,-2.6968,1.0624,4.318164499,walking
1.39E+12,3.8682,-2.833,-0.64016,4.837216665,walking
1.39E+12,4.1951,-3.9908,-2.1929,6.191458557,walking
1.39E+12,2.1793,-12.735,-9.0303,15.76311808,walking
1.39E+12,1.5119,-17.448,-11.087,20.72776193,walking
1.39E+12,2.5606,-17.57,-11.128,20.95456887,walking
1.39E+12,2.3836,-11.55,-7.0281,13.72873769,walking
1.39E+12,-0.20431,-10.42,-4.7807,11.46617788,walking
1.39E+12,-1.0896,-6.7148,-7.6683,10.25078495,walking
1.39E+12,4.2087,-10.379,-2.3018,11.4339442,walking
1.39E+12,4.1814,-16.304,-1.2395,16.8772297,walking
1.39E+12,2.8058,-19.191,-0.50395,19.40157108,walking
1.39E+12,4.7126,-6.8374,5.6524,10.04531051,walking
1.39E+12,5.884,-3.4596,4.4947,8.172674975,walking
1.39E+12,-0.47671,-8.2267,5.8023,10.07831983,walking
1.39E+12,-3.1872,-10.27,7.8317,13.30288197,walking
1.39E+12,-5.6797,-11.931,1.4846,13.29705946,walking
1.39E+12,-4.5356,-10.733,0.28603,11.65550383,walking
1.39E+12,-2.0431,-9.1393,-0.14982,9.36608286,walking
1.39E+12,-0.25879,-8.9077,0.54481,8.928096633,walking
1.39E+12,0.99429,-8.7306,1.1986,8.868406335,walking
1.39E+12,0.88532,-9.1665,0.54481,9.225255102,walking
1.39E+12,-0.12258,-8.9486,0.6674,8.974290533,walking
1.39E+12,-0.43585,-9.1393,0.53119,9.165093154,walking
1.39E+12,0.19068,-10.052,-0.44947,10.06385046,walking
1.39E+12,0.53119,-10.093,-0.50395,10.11952456,walking
1.39E+12,0.054481,-9.7113,-1.185,9.783483064,walking
1.39E+12,-0.42223,-9.6432,-0.96704,9.700760319,walking
1.39E+12,-1.3212,-10.161,0.89894,10.28589245,walking
1.39E+12,-0.68102,-10.733,0.29965,10.75875771,walking
1.39E+12,-0.027241,-11.373,-0.61292,11.38953651,walking
1.39E+12,-0.040861,-12.163,-0.83084,12.19141229,walking
1.39E+12,-0.57205,-12.354,-0.44947,12.37540224,walking
1.39E+12,-1.471,-11.795,0.43585,11.89436132,walking
1.39E+12,-1.8251,-11.741,-0.21793,11.88400456,walking
1.39E+12,-1.0488,-12.708,-1.5255,12.84213361,walking
1.39E+12,-0.89894,-13.893,-1.6889,14.02411941,walking
1.39E+12,-0.8036,-15.609,-2.2065,15.78465382,walking
1.39E+12,-0.99429,-13.089,-1.1577,13.17766303,walking
1.39E+12,3.3915,-10.256,0.28603,10.80599932,walking
1.39E+12,2.7922,-10.488,2.7377,11.1932804,walking
1.39E+12,2.0294,-12.762,2.0022,13.07654057,walking
1.39E+12,3.8954,-15.173,-0.54481,15.67452992,walking
1.39E+12,3.9908,-15.772,-1.8796,16.37728197,walking
1.39E+12,3.4051,-15.663,-1.866,16.13710727,walking
1.39E+12,1.4165,-16.29,7.1234,17.83573379,walking
1.39E+12,0.58567,-12.83,1.0624,12.88722635,walking
1.39E+12,-0.8036,-7.8045,0.27241,7.850490457,walking
1.39E+12,-0.65378,-5.4481,1.9886,5.836416011,walking
1.39E+12,-0.62654,-5.38,2.0158,5.779308091,walking
1.39E+12,-0.14982,-4.699,1.5663,4.955435674,walking
1.39E+12,0.58567,-3.7047,2.0022,4.251660414,walking
1.39E+12,2.3563,-3.4323,2.6696,4.945664479,walking
1.39E+12,2.6015,-3.4868,2.2882,4.915428336,walking
1.39E+12,2.9692,-3.4732,0.53119,4.600155399,walking
1.39E+12,3.8001,-4.522,-0.88532,5.97269081,walking
1.39E+12,3.5685,-7.6002,-3.514,9.101946401,walking
1.39E+12,-0.6674,-16.916,-10.801,20.08128681,walking
1.39E+12,1.9477,-16.004,-12.544,20.42727312,walking
1.39E+12,3.2008,-13.144,-11.645,17.84981461,walking
1.39E+12,1.2395,-10.665,-5.8976,12.24990902,walking
1.39E+12,0.49033,-10.406,-4.9306,11.52545339,walking
1.39E+12,1.9477,-10.311,-6.3198,12.24949502,walking
1.39E+12,4.3313,-13.443,-5.4073,15.12327021,walking
1.39E+12,3.6366,-14.056,0.21793,14.52045072,walking
1.39E+12,3.6366,-14.056,0.21793,14.52045072,walking
1.39E+12,4.5764,-3.9635,4.6445,7.630475048,walking
1.39E+12,3.3778,-4.6445,4.0725,7.04032452,walking
1.39E+12,0.68102,-8.9622,4.0316,9.850818019,walking
1.39E+12,-2.6423,-12.149,6.6059,14.07898665,walking
1.39E+12,-4.699,-12.585,0.76274,13.45528143,walking
1.39E+12,-3.3506,-10.433,-0.14982,10.95885283,walking
1.39E+12,0.29965,-7.9543,0.64016,7.985642331,walking
1.39E+12,1.3076,-9.1529,1.2122,9.324957105,walking
1.39E+12,1.5391,-9.507,1.3484,9.724713897,walking
1.39E+12,0.50395,-9.7658,1.2803,9.862250419,walking
1.39E+12,-0.72188,-9.2074,1.9477,9.438795516,walking
1.39E+12,-0.7355,-8.4855,1.4301,8.63654193,walking
1.39E+12,0.92618,-9.2346,0.17706,9.282617993,walking
1.39E+12,1.3757,-9.1529,0.17706,9.257401317,walking
1.39E+12,0.96704,-9.5887,-0.6674,9.660422186,walking
1.39E+12,-0.92618,-10.583,-0.31327,10.62806833,walking
1.39E+12,-1.6072,-11.319,-0.28603,11.43611236,walking
1.39E+12,-1.9613,-11.536,-0.35413,11.70689548,walking
1.39E+12,-1.0896,-11.223,-1.4165,11.36439305,walking
1.39E+12,-0.36775,-11.605,-1.3212,11.68575348,walking
1.39E+12,-1.0624,-12.068,-0.58567,12.12882216,walking
1.39E+12,-1.8387,-11.822,-0.01362,11.96414172,walking
1.39E+12,-0.8717,-11.863,-0.23155,11.89723688,walking
1.39E+12,0.28603,-13.076,-2.0431,13.23774327,walking
1.39E+12,-0.77636,-14.819,-1.6344,14.92905755,walking
1.39E+12,-1.4438,-15.405,-1.8115,15.5781936,walking
1.39E+12,-1.6072,-14.002,-2.152,14.25728585,walking
1.39E+12,1.0896,-11.387,0.14982,11.43999315,walking
1.39E+12,2.5742,-10.569,1.6753,11.00622082,walking
1.39E+12,2.6696,-13.634,1.9613,14.03065992,walking
1.39E+12,3.1054,-14.383,0.81722,14.73709763,walking
1.39E+12,3.8001,-15.255,-1.2667,15.77213726,walking
1.39E+12,3.8001,-15.255,-1.2667,15.77213726,walking
1.39E+12,2.1656,-15.35,2.0431,15.63606667,walking
1.39E+12,1.0896,-12.517,2.4517,12.80130267,walking
1.39E+12,-0.54481,-9.1256,1.1986,9.220088679,walking
1.39E+12,-1.0624,-6.9736,1.0624,7.133616508,walking
1.39E+12,-0.44947,-5.0531,2.1384,5.505324464,walking
1.39E+12,0.16344,-4.1814,1.8932,4.592932052,walking
1.39E+12,1.4982,-3.2961,2.0839,4.177501366,walking
1.39E+12,2.2882,-3.4187,2.3018,4.713984744,walking
1.39E+12,2.4108,-3.514,2.0703,4.737752076,walking
1.39E+12,2.6015,-3.8682,1.0079,4.769343341,walking
1.39E+12,3.5549,-3.8001,-0.095342,5.204533035,walking
1.39E+12,3.6911,-6.7693,-3.7456,8.571882002,walking
1.39E+12,0.77636,-14.901,-10.474,18.23039253,walking
1.39E+12,2.4244,-16.072,-12.803,20.69066718,walking
1.39E+12,2.9011,-12.149,-9.5479,15.72186301,walking
1.39E+12,1.9886,-10.896,-6.3198,12.75214562,walking
1.39E+12,0.99429,-10.011,-4.5492,11.04101237,walking
1.39E+12,1.5255,-8.322,-4.699,9.677987149,walking
1.39E+12,4.6718,-8.0632,-1.0624,9.379211227,walking
1.39E+12,5.598,-13.171,-0.095342,14.31160142,walking
1.39E+12,3.7865,-18.101,-2.261,18.63051004,walking
1.39E+12,2.2746,-8.5808,5.38,10.38018949,walking
1.39E+12,2.9965,-5.4618,6.1428,8.748957843,walking
1.39E+12,3.4732,-4.7263,4.413,7.339999927,walking
1.39E+12,-2.7922,-9.5479,5.7614,11.49576031,walking
1.39E+12,-4.8625,-11.782,2.8603,13.0629532,walking
1.39E+12,-4.9306,-11.768,0.70826,12.77882125,walking
1.39E+12,-1.58,-9.4798,0.01362,9.61057717,walking
1.39E+12,0.17706,-9.3299,0.068102,9.331828445,walking
1.39E+12,0.92618,-9.3572,0.42223,9.4124003,walking
1.39E+12,0.01362,-9.4389,0.84446,9.4766097,walking
1.39E+12,-0.49033,-8.322,0.31327,8.342316561,walking
1.39E+12,-0.47671,-8.9213,0.19068,8.936062051,walking
1.39E+12,0.24517,-10.052,-0.85808,10.09153673,walking
1.39E+12,0.70826,-9.9292,-0.9398,9.99869336,walking
1.39E+12,0.74912,-9.7658,-0.78998,9.826296292,walking
1.39E+12,-0.55843,-9.507,0.21793,9.525879831,walking
1.39E+12,-0.96704,-9.398,0.77636,9.479467559,walking
1.39E+12,-0.76274,-10.147,0.40861,10.18382754,walking
1.39E+12,-0.64016,-10.665,0.095342,10.68462072,walking
1.39E+12,-0.29965,-11.741,-1.0215,11.78916169,walking
1.39E+12,-0.57205,-12.503,-0.83084,12.54362568,walking
1.39E+12,-1.5119,-12.027,-0.054481,12.12177952,walking
1.39E+12,-1.58,-12.095,0.01362,12.19777072,walking
1.39E+12,-1.1713,-12.898,-1.4165,13.02830841,walking
1.39E+12,-1.471,-14.792,-1.5391,14.94442819,walking
1.39E+12,-2.5061,-15.228,-2.2474,15.59561887,walking
1.39E+12,-2.1793,-12.762,-1.6072,13.04611376,walking
1.39E+12,-0.69464,-11.591,-2.4244,11.86218871,walking
1.39E+12,2.8875,-10.569,2.3291,11.20116619,walking
1.39E+12,3.1599,-12.231,3.0918,13.00544333,walking
1.39E+12,3.6775,-14.124,1.4029,14.6621796,walking
1.39E+12,4.2495,-14.547,-0.040861,15.15503642,walking
1.39E+12,3.4187,-15.337,-0.76274,15.73190551,walking
1.39E+12,2.8603,-16.29,0.70826,16.55436644,walking
1.39E+12,1.8251,-12.435,2.3427,12.78469625,walking
1.39E+12,-1.0351,-8.2676,-0.20431,8.334649623,walking
1.39E+12,-0.17706,-6.8238,0.92618,6.888643268,walking
1.39E+12,0.38137,-5.9385,1.5391,6.146548148,walking
1.39E+12,0.31327,-3.7728,1.8932,4.232772634,walking
