Left_pocket,,,,,
time_stamp,Ax,Ay,Az,Axyz,Act
1.39E+12,2.4108,-15.623,-2.3155,15.97659619,walking
1.39E+12,2.6968,-12.027,-1.6753,12.43897461,walking
1.39E+12,0.21793,-9.0575,0.40861,9.069330839,walking
1.39E+12,0.92618,-7.7772,0.69464,7.862898573,walking
1.39E+12,0.8036,-6.5105,1.2531,6.678521005,walking
1.39E+12,0.027241,-7.927,1.2803,8.029772049,walking
1.39E+12,-1.7298,-10.093,0.46309,10.25062483,walking
1.39E+12,-1.2122,-8.8532,0.095342,8.936311833,walking
1.39E+12,2.5879,-3.4323,1.185,4.458938741,walking
1.39E+12,3.5685,-2.6968,1.1986,4.630719647,walking
1.39E+12,3.6366,-2.3563,1.3893,4.55051247,walking
1.39E+12,2.3155,-2.2474,0.57205,3.277131095,walking
1.39E+12,1.3484,-2.2201,-1.4574,2.978429339,walking
1.39E+12,2.0567,-4.127,-7.6819,8.959560899,walking
1.39E+12,1.8387,-6.4969,-12.476,14.18594739,walking
1.39E+12,-4.4402,-18.224,-19.259,26.88379871,walking
1.39E+12,-4.4811,-19.559,-6.674,21.14656034,walking
1.39E+12,-1.5119,-15.772,-5.4345,16.75039151,walking
1.39E+12,5.7342,-5.5162,-7.0417,10.62520828,walking
1.39E+12,8.322,-8.2812,2.3972,11.98250914,walking
1.39E+12,7.1371,-10.733,2.7377,13.17689215,walking
1.39E+12,2.0567,-12.095,-3.3506,12.7179228,walking
1.39E+12,2.2065,-6.0883,5.0259,8.197298942,walking
1.39E+12,4.0316,-5.0804,3.5413,7.389524234,walking
1.39E+12,1.185,-9.4389,3.9363,10.29521811,walking
1.39E+12,-0.35413,-14.138,3.5685,14.58569999,walking
1.39E+12,-2.3155,-16.467,2.7786,16.85954469,walking
1.39E+12,-3.1872,-16.957,2.9284,17.50067483,walking
1.39E+12,-1.6072,-10.678,-1.4165,10.8907873,walking
1.39E+12,0.23155,-7.8862,-0.42223,7.900888812,walking
1.39E+12,1.1713,-7.3958,-0.42223,7.499871966,walking
1.39E+12,2.5742,-7.3686,-0.92618,7.860062404,walking
1.39E+12,0.29965,-9.5206,0.84446,9.562673642,walking
1.39E+12,-0.64016,-9.5479,0.78998,9.601888754,walking
1.39E+12,-1.0215,-9.0575,-0.12258,9.115744312,walking
1.39E+12,-2.8058,-9.0439,-0.51757,9.483275782,walking
1.39E+12,-3.0918,-8.7987,0.27241,9.330088753,walking
1.39E+12,-3.0782,-8.2948,0.27241,8.851735959,walking
1.39E+12,-3.1054,-9.0167,-0.81722,9.571428137,walking
1.39E+12,-3.1054,-8.9894,-1.2258,9.589338202,walking
1.39E+12,-1.866,-10.678,-0.83084,10.87161143,walking
1.39E+12,-1.3484,-11.25,-0.7355,11.35436668,walking
1.39E+12,-0.57205,-11.223,-0.68102,11.25818629,walking
1.39E+12,-1.0896,-10.392,-0.14982,10.4500401,walking
1.39E+12,-2.0839,-10.365,0.28603,10.57627899,walking
1.39E+12,-2.2882,-10.951,0.70826,11.20990154,walking
1.39E+12,-1.5936,-13.443,-0.29965,13.54044313,walking
1.39E+12,-1.7162,-14.764,-0.6674,14.87838907,walking
1.39E+12,-2.9556,-14.233,-1.866,14.65591404,walking
1.39E+12,-2.7922,-12.19,-1.5391,12.60005197,walking
1.39E+12,-2.1929,-11.128,-0.92618,11.37976291,walking
1.39E+12,-0.83084,-10.501,-0.85808,10.56870841,walking
1.39E+12,2.2882,-12.258,1.0215,12.51151012,walking
1.39E+12,1.8796,-13.035,2.3427,13.37656026,walking
1.39E+12,1.4982,-13.893,2.1656,14.14036335,walking
1.39E+12,1.7162,-16.113,-0.43585,16.20999928,walking
1.39E+12,1.7298,-16.14,-2.1656,16.37625206,walking
1.39E+12,1.9886,-12.435,-0.64016,12.60926484,walking
1.39E+12,-0.32689,-9.4525,-0.10896,9.45877823,walking
1.39E+12,-0.38137,-8.4991,-0.25879,8.51158717,walking
1.39E+12,-0.29965,-7.1643,1.0488,7.246859047,walking
1.39E+12,-0.53119,-7.3686,1.2939,7.50017373,walking
1.39E+12,-1.3757,-8.5944,1.0079,8.761970341,walking
1.39E+12,-0.19068,-8.0224,1.0215,8.089420429,walking
1.39E+12,1.9341,-5.38,1.8387,6.005494193,walking
1.39E+12,3.3642,-3.8954,1.471,5.353113468,walking
1.39E+12,4.304,-3.2825,1.3484,5.578297662,walking
1.39E+12,3.4459,-3.1054,0.84446,4.714960091,walking
1.39E+12,2.2201,-3.0646,-0.44947,3.81085823,walking
1.39E+12,1.8251,-3.4187,-3.8001,5.427638502,walking
1.39E+12,1.9613,-8.717,-14.383,16.93232045,walking
1.39E+12,-1.3484,-13.729,-17.325,22.14631456,walking
1.39E+12,-3.6366,-17.775,-18.742,26.08520747,walking
1.39E+12,-3.0237,-15.541,-5.203,16.66543284,walking
1.39E+12,1.0896,-5.2302,-5.4345,7.620761802,walking
1.39E+12,3.7184,2.8194,3.3097,5.720981473,walking
1.39E+12,4.6445,-6.4288,9.5751,12.43315687,walking
1.39E+12,7.4367,-16.222,1.6208,17.91883879,walking
1.39E+12,2.9556,-19.177,-11.945,22.78543231,walking
1.39E+12,1.6753,-8.9349,5.0259,10.38743178,walking
1.39E+12,3.3778,-2.5742,2.9011,5.143191586,walking
1.39E+12,2.6696,-6.7012,2.9148,7.780032432,walking
1.39E+12,1.2395,-12.817,2.5742,13.13157854,walking
1.39E+12,-0.054481,-16.848,3.6094,17.23037552,walking
1.39E+12,-0.44947,-15.84,4.5628,16.49020216,walking
1.39E+12,-0.85808,-10.311,1.2803,10.42555468,walking
